曲目,PST,PRS,FTR,BYD
Grievous Lady,6.5,9.3,11.3
Fracture Ray,6.0,9.5,11.3
Aegleseeker,5.5,9.1,11.1
SAIKYO STRONGER,5.5,9.4,11.0
TEmPTaTiON,5.0,8.2,10.9
Dantalion,5.0,8.2,10.9
Misdeed -la bonté de Dieu et l'origine du mal-,5.5,8.5,10.9
#1f1e33,5.5,9.2,10.9
LAMIA,5.0,8.3,10.9
BUCHiGiRE Berserker,5.0,8.6,10.9
Testify,7.0,9.4,10.8,12.0
World Vanquisher,2.5,5.5,10.8
Ringed Genesis,5.5,8.4,10.8
Spider's Thread,4.5,7.5,10.8
Divine Light of Myriad,4.5,7.5,10.8
ω4,3.5,7.5,10.8
Tempestissimo,6.5,9.5,10.7,11.5
REKKA RESONANCE,5.0,8.3,10.7
ouroboros -twin stroke of the end-,4.5,7.0,10.7
PRIMITIVE LIGHTS,5.5,8.5,10.7
Stasis,4.5,7.0,10.7
Halcyon,5.5,8.2,10.7
Axium Crisis,5.5,8.5,10.7
AMAZING MIGHTYYYY!!!!,4.5,7.5,10.7
Singularity,4.5,7.5,10.7,10.4
GENOCIDER,4.5,8.5,10.7
Cyaegha,5.5,8.4,10.7
AttraqtiA,4.0,7.5,10.6
NULL APOPHENIA,4.5,7.5,10.6
corps-sans-organes,4.5,7.5,10.6
Overwhelm,5.0,8.5,10.6
GLORY：ROAD,4.5,7.0,10.6
cyanine,4.0,7.5,10.6
Sheriruth (Laur Remix),4.0,7.5,10.6
Live Fast Die Young,4.5,8.1,10.6
Seclusion,4.0,7.0,10.6
Manic Jeer,4.0,7.5,10.6
Lightning Screw,4.5,7.5,10.5
"Good bye, Merry-Go-Round.",4.5,7.5,10.5
Aurgelmir,4.5,7.5,10.5
To the Milky Way,5.0,8.7,10.5
Last Celebration,3.5,6.5,10.5
Arcana Eden,5.5,8.7,10.5,11.4
Valhalla:0,4.5,7.0,10.4
Tiferet,4.5,7.5,10.4
γuarδina,4.0,7.5,10.4
Garakuta Doll Play,4.5,6.5,10.4
Chronicle,5.0,8.5,10.4
Climax,4.5,7.5,10.4
PUPA,4.0,7.5,10.4
Felis,4.0,7.5,10.4
Kissing Lucifer,4.5,7.5,10.4
Crimson Throne,4.0,8.0,10.4
Ikazuchi,3.5,7.5,10.4
[X],4.5,7.5,10.4
GIMME DA BLOOD,3.5,7.0,10.4
"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",3.5,6.5,10.3
Pentiment,6.0,8.4,10.3,11.4
Ether Strike,5.5,8.3,10.3
Viyella's Tears,4.0,7.0,10.3
IZANA,5.0,8.3,10.3
To: Alice Liddell,4.0,7.0,10.3
Metallic Punisher,3.0,7.0,10.3
Nirv lucE,2.5,7.0,10.3
αterlβus,4.0,7.0,10.2
Redolent Shape,4.5,7.5,10.2
Löschen,3.5,7.0,10.2
Capella,4.5,7.5,10.2
Malicious Mischance,4.0,7.5,10.2
G e n g a o z o,4.0,7.5,10.2
conflict,4.5,7.5,10.2
Medusa,4.5,7.0,10.2
NEO WINGS,4.0,7.5,10.2
Scarlet Lance,4.0,7.0,10.1
Sheriruth,5.5,7.5,10.1
PRAGMATISM,4.5,8.6,10.1,11.0
Trrricksters!!,4.5,7.5,10.1
Alexandrite,4.5,7.0,10.0
Free Myself,4.5,7.5,10.0
trappola bewitching,3.0,6.0,10.0,10.5
Mirzam,4.0,7.0,10.0
HIVEMIND,4.0,7.5,10.0
Modelista,3.5,7.5,10.0
Xanatos,4.0,7.5,10.0
Oshama Scramble!,3.5,6.5,10.0
Vicious Heroism,4.0,7.5,10.0
Bamboo,3.0,6.5,10.0
New York Back Raise,4.5,7.0,9.9
The Survivor (Game Edit),3.5,6.5,9.9
Genesis,4.0,7.0,9.9
7thSense,3.0,7.5,9.9
Trap Crow,4.5,7.5,9.9
Heavensdoor,4.5,7.5,9.9,10.8
Arcahv,4.5,7.5,9.9
"Infinite Strife,",4.0,7.5,9.9,10.9
World Ender,4.0,7.5,9.9,11.2
Summer Fireworks of Love,3.0,6.5,9.9
SOUNDWiTCH,3.5,6.5,9.9
Nhelv,3.0,6.5,9.9
MAXRAGE,3.5,6.5,9.9
Astra walkthrough,4.5,7.5,9.9
Antagonism,4.5,7.5,9.9
Corruption,3.0,6.5,9.8
Scarlet Cage,4.0,7.0,9.8
Defection,3.5,6.5,9.8
Ascent,3.0,6.0,9.8
Macrocosmic Modulation,4.0,7.5,9.8
Black Territory,3.0,7.5,9.8
THE ULTIMACY,3.0,7.0,9.8
Xeraphinite,3.0,7.0,9.8
Galaxy Friends,3.5,6.0,9.8
World Fragments III(radio edit),3.5,7.0,9.8
Ai Drew,3.5,6.5,9.8
Heavenly caress,3.5,7.5,9.8
Lost Desire,4.0,7.5,9.8
Callima Karma,3.5,7.0,9.8
Haze of Autumn,3.5,7.0,9.8
init(),4.0,7.0,9.8
Hybris (The one who shattered),4.5,7.5,9.8
Far Away Light,4.5,7.5,9.8
FLUFFY FLASH,3.5,6.5,9.8
Got hive of Ra,3.0,6.5,9.8
DX Choseinou Full Metal Shojo,3.0,6.0,9.8
Memory Forest,3.5,6.0,9.8
Einherjar Joker,4.0,7.0,9.8
Linear Accelerator,2.5,6.5,9.8
